ID,Abstract
11,"A feature of the physiological adaptation to spaceflight in Arabidopsis thaliana (Arabidopsis) is the induction of reactive oxygen species (ROS)-associated gene expression. The patterns of ROS-associated gene expression vary among Arabidopsis ecotypes, and the role of ROS signalling in spaceflight acclimation is unknown. What could differences in ROS gene regulation between ecotypes on orbit reveal about physiological adaptation to novel environments? Analyses of ecotype-dependent responses to spaceflight resulted in the elucidation of a previously uncharacterized gene (OMG1) as being ROS-associated. The OMG1 5′ flanking region is an active promoter in cells where ROS activity is commonly observed, such as in pollen tubes, root hairs, and in other tissues upon wounding. qRT-PCR analyses revealed that upon wounding on Earth, OMG1 is an apparent transcriptional regulator of MYB77 and GRX480, which are associated with the ROS pathway. Fluorescence-based ROS assays show that OMG1 affects ROS production. Phylogenetic analysis of OMG1 and closely related homologs suggests that OMG1 is a distant, unrecognized member of the CONSTANS-Like protein family, a member that arose via gene duplication early in the angiosperm lineage and subsequently lost its first DNA-binding B-box1 domain. These data illustrate that members of the rapidly evolving COL protein family play a role in regulating ROS pathway functions, and their differential regulation on orbit suggests a role for ROS signalling in spaceflight physiological adaptation."
12,"Space agencies have announced plans for human missions to the Moon to prepare for Mars. However, the space environment presents stressors that include radiation, microgravity, and isolation. Understanding how these factors affect biology is crucial for safe and effective crewed space exploration. There is a need to develop countermeasures, to adapt plants and microbes for nutrient sources and bioregenerative life support, and to limit pathogen infection. Scientists across the world are conducting space omics experiments on model organisms and, more recently, on humans. Optimal extraction of actionable scientific discoveries from these precious datasets will only occur at the collective level with improved standardization. To address this shortcoming, we established ISSOP (International Standards for Space Omics Processing), an international consortium of THE BIGGER PICTURE With the rise of commercial spaceflight and prospective human missions to Mars, a wider health range of humans will enter space for longer spans and at higher exposure to environmental stressors than ever before. Numerous adverse health effects have been observed in space, including bone demineralization and skeletal muscle atrophy, among others. Scientists across the world are conducting space omics studies to develop countermeasures for safe and effective crewed space missions. However, optimal extraction of scientific insight from such data is contingent on improved standardization. In response, we founded ISSOP (International Standards for Space Omics Processing), an international consortium of scientists who aim to enhance guidelines between space biologists globally. This paper informs scientists and data scientists from many fields about the challenges and future avenues of space omics and can serve as an introductory reference for new members in the space biology discipline.Concept: Basic principles of a new data science output observed and reported"
13,"Plants exhibit rapid, systemic signaling systems that allow them to coordinate physiological and developmental responses throughout the plant body, even to highly localized and quickly changing environmental stresses. The propagation of these signals is thought to include processes ranging from electrical and hydraulic networks to waves of reactive oxygen species (ROS) and cytoplasmic Ca 2+ traveling throughout the plant. For the Ca 2+ wave system, the involvement of the vacuolar ion channel TWO PORE CHANNEL1 (TPC1) has been reported. However, the precise role of this channel and the mechanism of cell-to-cell propagation of the wave have remained largely undefined. Here, we use the fire-diffuse-fire model to analyze the behavior of a Ca 2+ wave originating from Ca 2+ release involving the TPC1 channel in Arabidopsis (Arabidopsis thaliana). We conclude that a Ca 2+ diffusion-dominated calcium-induced calcium-release mechanism is insufficient to explain the observed wave transmission speeds. The addition of a ROS-triggered element, however, is able to quantitatively reproduce the observed transmission characteristics. The treatment of roots with the ROS scavenger ascorbate and the NADPH oxidase inhibitor diphenyliodonium and analysis of Ca 2+ wave propagation in the Arabidopsis respiratory burst oxidase homolog D (AtrbohD) knockout background all led to reductions in Ca 2+ wave transmission speeds consistent with this model. Furthermore, imaging of extracellular ROS production revealed a systemic spread of ROS release that is dependent on both AtRBOHD and TPC1. These results suggest that, in the root, plant systemic signaling is supported by a ROS-assisted calcium-induced calcium-release mechanism intimately involving ROS production by AtRBOHD and Ca 2+ release dependent on the vacuolar channel TPC1."
14,"Collection and processing of tissues to preserve space flight effects from animals after return to Earth is challenging. Specimens must be harvested with minimal time after landing to minimize postflight readaptation alterations in protein expression/translation, posttranslational modifications, and expression, as well as changes in gene expression and tissue histological degradation after euthanasia. We report the development of a widely applicable strategy for determining the window of optimal species-specific and tissue-specific posteuthanasia harvest that can be utilized to integrate into multi-investigator Biospecimen Sharing Programs. We also determined methods for ISS-compatible long-term tissue storage (10 months at -80 ∘ C) that yield recovery of high quality mRNA and protein for western analysis after sample return. Our focus was reproductive tissues. The time following euthanasia where tissues could be collected and histological integrity was maintained varied with tissue and species ranging between 1 and 3 hours. RNA quality was preserved in key reproductive tissues fixed in RNAlater up to 40 min after euthanasia. Postfixation processing was also standardized for safe shipment back to our laboratory. Our strategy can be adapted for other tissues under NASA's Biospecimen Sharing Program or similar multi-investigator tissue sharing opportunities."
15,"This study reports on a putative eicosanoid biosynthesis pathway in Drosophila melanogaster and challenges the currently held view that mechanistic routes to synthesize eicosanoid or eicosanoid-like biolipids do not exist in insects, since to date, putative fly homologs of most mammalian enzymes have not been identified. Here we use systematic and comprehensive bioinformatics approaches to identify most of the mammalian eicosanoid synthesis enzymes. Sensitive sequence analysis techniques identified candidate Drosophila enzymes that share low global sequence identities with their human counterparts. Twenty Drosophila candidates were selected based upon (a) sequence identity with human enzymes of the cyclooxygenase and lipoxygenase branches, (b) similar domain architecture and structural conservation of the catalytic domain, and (c) presence of potentially equivalent functional residues. Evaluation of full-length structural models for these 20 top-scoring Drosophila candidates revealed a surprising degree of conservation in their overall folds and potential analogs for functional residues in all 20 enzymes. Although we were unable to identify any suitable candidate for lipoxygenase enzymes, we report structural homology models of three fly cyclooxygenases. Our findings predict that the D. melanogaster genome likely codes for one or more pathways for eicosanoid or eicosanoid-like biolipid synthesis. Our study suggests that classical and/or novel eicosanoids mediators must regulate biological functions in insects-predictions that can be tested with the power of Drosophila genetics. Such experimental analysis of eicosanoid biology in a simple model organism will have high relevance to human development and health."
16,"Sequencing antibody repertoires has steadily become cheaper and easier. Sequencing methods usually rely on some form of amplification, often a massively multiplexed PCR prior to sequencing. To eliminate potential biases and create a data set that could be used for other studies, our lab compared unamplified sequencing results from the splenic heavy-chain repertoire in the mouse to those processed through two commercial applications. We also compared the use of mRNA vs total RNA, reverse transcriptase, and primer usage for cDNA synthesis and submission. The use of mRNA for cDNA synthesis resulted in higher read counts but reverse transcriptase and primer usage had no statistical effects on read count. Although most of the amplified data sets contained more antibody reads than the unamplified data set, we detected more unique V-gene segments in the unamplified data set. Although unique CDR3 detection was much lower in the unamplified data set, RNASeq detected 98% of the high frequency CDR3s. We have shown that unamplified profiling of the antibody repertoire is possible, detects more V-gene segments, and detects high frequency clones in the repertoire."
17,"COVID-19, the disease caused by SARS-CoV-2, has claimed approximately 5 million lives and 257 million cases reported globally. This virus and disease have significantly affected people worldwide, whether directly and/or indirectly, with a virulent pathogen that continues to evolve as we race to learn how to prevent, control, or cure COVID-19. The focus of this review is on the SARS-CoV-2 virus' mechanism of infection and its proclivity at adapting and restructuring the intracellular environment to support viral replication. We highlight current knowledge and how scientific communities with expertize in viral, cellular, and clinical biology have contributed to increase our understanding of SARS-CoV-2, and how these findings may help explain the widely varied clinical observations of COVID-19 patients."
18,"COVID-19, the disease caused by SARS-CoV-2, has caused significant morbidity and mortality worldwide. The betacoronavirus continues to evolve with global health implications as we race to learn more to curb its transmission, evolution, and sequelae. The focus of this review, the second of a three-part series, is on the biological effects of the SARS-CoV-2 virus on post-acute disease in the context of tissue and organ adaptations and damage. We highlight the current knowledge and describe how virological, animal, and clinical studies have shed light on the mechanisms driving the varied clinical diagnoses and observations of COVID-19 patients. Moreover, we describe how investigations into SARS-CoV-2 effects have informed the understanding of viral pathogenesis and provide innovative pathways for future research on the mechanisms of viral diseases."
19,"Auxin is transported in plants with distinct polarity, defined by transport proteins of the PIN-formed (PIN) family. Components of the complex trafficking machinery responsible for polar PIN protein localization have been identified by genetic approaches, but severe developmental phenotypes of trafficking mutants complicate dissection of this pathway. We utilized a temperature sensitive allele of Arabidopsis thaliana SCD1 (stomatal cytokinesis defective1) that encodes a RAB-guanine nucleotide exchange factor. Auxin transport, lateral root initiation, asymmetric auxin-induced gene expression after gravitropic reorientation, and differential gravitropic growth were reduced in the roots of the scd1-1 mutant relative to wild type at the restrictive temperature of 25 • C, but not at the permissive temperature of 18 • C. In scd1-1 at 25 • C, PIN1-and PIN2-GFP accumulated in endomembrane bodies. Transition of seedlings from 18 to 25 • C for as little as 20 min resulted in the accumulation of PIN2-GFP in endomembranes, while gravitropism and root developmental defects were not detected until hours after transition to the non-permissive temperature. The endomembrane compartments that accumulated PIN2-GFP in scd1-1 exhibited FM4-64 signal colocalized with ARA7 and ARA6 fluorescent marker proteins, consistent with PIN2 accumulation in the late or multivesicular endosome. These experiments illustrate the power of using a temperature sensitive mutation in the gene encoding SCD1 to study the trafficking of PIN2 between the endosome and the plasma membrane. Using the conditional feature of this mutation, we show that altered trafficking of PIN2 precedes altered auxin transport and defects in gravitropism and lateral root development in this mutant upon transition to the restrictive temperature."
20,"Experimental fl exibility is a luxury often taken for granted in typical laboratory science. Adapting a protocol in response to unfolding information as the experiment proceeds is a key element in discovery and is standard practice. In spacefl ight, this luxury is not as accessible; crew time is highly regulated, orbital resources are limited, and protocols are tightly controlled once in place. In addition, the up-mass available to each researcher is limited, which restricts the choices of experimental treatments and orbital fi xation options. These constraints often translate into hard choices that limit the scientifi c return on investment, including sacrifi cing the number of replicates to enable additional treatment and fi xation scenarios. As a consequence, options that allow maximization of the data obtained from a single sample are highly valued.Biological experiments are typically required to be segregated based on the analyses to be performed upon return from spacefl ight. These segregated conditions are usually either molecular or morphological, due to the separate fi xatives required for each application (e.g., Stutte et al., 2006 ). Investigations focused on transcriptome analyses, for instance, would not be likely to commit a portion of their limited up-mass on samples"
21,"The space environment includes unique hazards like radiation and microgravity which can adversely affect biological systems. We assessed a multi-omics NASA GeneLab dataset where mice were hindlimb unloaded and/or gamma irradiated for 21 days followed by retinal analysis at 7 days, 1 month or 4 months post-exposure. We compared time-matched epigenomic and transcriptomic retinal profiles resulting in a total of 4178 differentially methylated loci or regions, and 457 differentially expressed genes. Highest correlation in methylation difference was seen across different conditions at the same time point. Nucleotide metabolism biological processes were enriched in all groups with activation at 1 month and suppression at 7 days and 4 months. Genes and processes related to Notch and Wnt signaling showed alterations 4 months post-exposure. A total of 23 genes showed significant changes in methylation and expression compared to unexposed controls, including genes involved in retinal function and inflammatory response. This multi-omics analysis interrogates the epigenomic and transcriptomic impacts of radiation and hindlimb unloading on the retina in isolation and in combination and highlights important molecular mechanisms at different postexposure stages.Spaceflight hazards such as microgravity and space radiation are anticipated to impact biological systems and could potentially affect crew health and performance both in mission and once astronauts return to Earth. These unique hazards have been thought to induce adverse changes in the central nervous system (CNS), with a frequently reported impact on ocular function [1][2][3][4] . Resources aboard space assets that have a sustained human presence like the International Space Station (ISS) are limited and it is difficult to recreate spaceflight conditions on the ground for controlled experiments. Therefore, characterization of the type and magnitude of these changes is challenging. Despite these challenges, analogs can be used to inform the understanding of the spaceflight environment impacts on biology and support development of mitigation strategies to reduce spaceflight health risks. Ground-based analogs can also support the interrogation of biological effects from disparate stressors in isolation from one another that cannot be untangled in the spaceflight environment. Furthermore, advances in bioinformatics have expanded the potential scientific return of prior experiments provided data is accessible for re-evaluation. Fortunately, NASA's GeneLab is an open-access omics database for space-relevant biological experiments that provides access to uniformly formatted data 5 .The current study leverages transcriptomic and methylation sequencing data acquired as part of a larger experiment to understand the longitudinal effects and underlying mechanisms of low-dose ionizing radiation (IR) exposure and hindlimb unloading (HLU; an analog for microgravity) on neurovascular oxidative stress and brain function 6 . Global transcriptome profiling with RNA-seq quantifies gene expression at the time of sample acquisition while reduced representation bisulfite sequencing (RRBS) analyzes DNA methylation, which is one of the most studied epigenetic modifications involved in disease development [7][8][9] .Previous studies analyzed spaceflight-induced transcriptomic and epigenomic response in murine retina 10,11 or evaluated response to different ground-based hazard analogs in murine brain 6 and spleen 12 ."
22,"Platelets (PLTs) are anucleate and considered incapable of nuclear functions. Contrastingly, nuclear proteins were detected in human PLTs. For most of these proteins, it is unclear if nuclear or alternatively assigned functions are performed, a question we wanted to address for nuclear assembly protein 1 like 1 (NAP1L1). Using a wide array of molecular methods, including RNAseq, co-IP, overexpression and functional assays, we explored expression pattern and functionality of NAP1L1 in PLTs, and CD34 + -derived megakaryocytes (MKs). NAP1L1 is expressed in PLTs and MKs. Co-IP experiments revealed that dihydrolipolylysine-residue acetyltransferase (DLAT encoded protein PDC-E2, ODP2) dynamically interacts with NAP1L1. PDC-E2 is part of the mitochondrial pyruvate-dehydrogenase (PDH) multi-enzyme complex, playing a crucial role in maintaining cellular respiration, and promoting ATP-synthesis via the respiratory chain. Since altered mitochondrial function is a hallmark of infectious syndromes, we analyzed PDH activity in PLTs from septic patients demonstrating increased activity, paralleling NAP1L1 expression levels. MKs PDH activity decreased following an LPS-challenge. Furthermore, overexpression of NAP1L1 significantly altered the ability of MKs to form proplatelet extensions, diminishing thrombopoiesis. These results indicate that NAP1L1 performs in other than nucleosome-assembly functions in PTLs and MKs, binding a key mitochondrial protein as a potential chaperone, and gatekeeper, influencing PDH activity and thrombopoiesis."
23,"Main conclusionBlue-light positive phototropism in roots is masked by gravity and revealed in conditions of microgravity. In addition, the magnitude of red-light positive phototropic curvature is correlated to the magnitude of gravity.Due to their sessile nature, plants utilize environmental cues to grow and respond to their surroundings. Two of these cues, light and gravity, play a substantial role in plant orientation and directed growth movements (tropisms). However, very little is currently known about the interaction between light-(phototropic) and gravity (gravitropic)-mediated growth responses. Utilizing the European Modular Cultivation System on board the International Space Station, we investigated the interaction between phototropic and gravitropic responses in three Arabidopsis thaliana genotypes, Landsberg wild type, as well as mutants of phytochrome A and phytochrome B. Onboard centrifuges were used to create a fractional gravity gradient ranging from reduced gravity up to 1g. A novel positive blue-light phototropic response of roots was observed during conditions of microgravity, and this response was attenuated at 0.1g. In addition, a red-light pretreatment of plants enhanced the magnitude of positive phototropic curvature of roots in response to blue illumination. In addition, a positive phototropic response of roots was observed when exposed to red light, and a decrease in response was gradual and correlated with the increase in gravity. The positive red-light phototropic curvature of hypocotyls when exposed to red light was also confirmed. Both red-light and blue-light phototropic responses were also shown to be affected by directional light intensity. To our knowledge, this is the first characterization of a positive blue-light phototropic response in Arabidopsis roots, as well as the first description of the relationship between these phototropic responses in fractional or reduced gravities."
24,"Main conclusionBlue-light positive phototropism in roots is masked by gravity and revealed in conditions of microgravity. In addition, the magnitude of red-light positive phototropic curvature is correlated to the magnitude of gravity.Due to their sessile nature, plants utilize environmental cues to grow and respond to their surroundings. Two of these cues, light and gravity, play a substantial role in plant orientation and directed growth movements (tropisms). However, very little is currently known about the interaction between light-(phototropic) and gravity (gravitropic)-mediated growth responses. Utilizing the European Modular Cultivation System on board the International Space Station, we investigated the interaction between phototropic and gravitropic responses in three Arabidopsis thaliana genotypes, Landsberg wild type, as well as mutants of phytochrome A and phytochrome B. Onboard centrifuges were used to create a fractional gravity gradient ranging from reduced gravity up to 1g. A novel positive blue-light phototropic response of roots was observed during conditions of microgravity, and this response was attenuated at 0.1g. In addition, a red-light pretreatment of plants enhanced the magnitude of positive phototropic curvature of roots in response to blue illumination. In addition, a positive phototropic response of roots was observed when exposed to red light, and a decrease in response was gradual and correlated with the increase in gravity. The positive red-light phototropic curvature of hypocotyls when exposed to red light was also confirmed. Both red-light and blue-light phototropic responses were also shown to be affected by directional light intensity. To our knowledge, this is the first characterization of a positive blue-light phototropic response in Arabidopsis roots, as well as the first description of the relationship between these phototropic responses in fractional or reduced gravities."
25,"The wasps Leptopilina heterotoma parasitize and ingest their Drosophila hosts. They produce extracellular vesicles (EVs) in the venom that are packed with proteins, some of which perform immune suppressive functions. EV interactions with blood cells of host larvae are linked to hematopoietic depletion, immune suppression, and parasite success. But how EVs disperse within the host, enter and kill hematopoietic cells is not well understood. Using an antibody marker for L. heterotoma EVs, we show that these parasite-derived structures are readily distributed within the hosts' hemolymphatic system. EVs converge around the tightly clustered cells of the posterior signaling center (PSC) of the larval lymph gland, a small hematopoietic organ in Drosophila. The PSC serves as a source of developmental signals in naïve animals. In wasp-infected animals, the PSC directs the differentiation of lymph gland progenitors into lamellocytes. These lamellocytes are needed to encapsulate the wasp egg and block parasite development. We found that L. heterotoma infection disassembles the PSC and PSC cells disperse into the disintegrating lymph gland lobes. Genetically manipulated PSC-less lymph glands remain non-responsive and largely intact in the face of L. heterotoma infection. We also show that the larval lymph gland progenitors use the endocytic machinery to internalize EVs. Once inside, L. heterotoma EVs damage the Rab7-and LAMP-positive late endocytic and phagolysosomal compartments. Rab5 maintains hematopoietic and immune quiescence as Rab5 knockdown results in hematopoietic over-proliferation and ectopic lamellocyte differentiation. Thus, both aspects of anti-parasite immunity, i.e., (a) phagocytosis of the wasp's immune-suppressive EVs, and (b) progenitor differentiation for wasp egg encapsulation reside in the lymph gland. These results help explain why the lymph gland is specifically and precisely targeted for destruction. The parasite's simultaneous and multipronged approach to block cellular immunity not only eliminates blood cells, but also tactically blocks the genetic programming needed for supplementary hematopoietic differentiation necessary for host success. In addition to its known functions in hematopoiesis, our results highlight a previously unrecognized phagocytic role of the lymph gland in"
